user_id,movie_ids
11,"s3842,s1000,s5652,s4737,s584,s3549,s2434,s2978,s1494,s4838,s5882,s626,s134,s2034,s4012,s5731,s1937,s4120,s4330,s361,s2885,s5048,s1168,s268,s2089,s767,s4302,s5471,s2280,s3111,s5702,s1562,s5457,s2415,s471,s4537,s1410,s4477,s164,s4687,s233,s35,s2437,s854,s5126,s3837,s3047,s5739,s2621,s2414,s3986,s165,s4346,s5235,s5954,s748,s3524,s3508,s4172,s2205,s5820,s1508,s457,s3138,s4378,s947,s5393,s468,s1175,s4085,s4943,s1563,s3269,s1927,s4020,s1248,s3960,s2088,s3774,s286,s5483,s306,s4354,s1907,s2376,s1948,s2209,s4706,s4178,s5351,s3555,s2430,s5998,s2867,s3334,s1541,s5750,s473,s5184,s1097,s5788,s4075,s5547,s5339,s1665,s4184,s2685,s3082,s900,s3230,s1272,s185,s1048,s5203,s3492"
12,"s3423,s3783,s773,s1571,s1834,s2862,s1535,s1459,s1430,s2289,s2505,s54,s2724,s1438,s2622,s3305,s593"
13,"s885,s3596,s2196,s3484,s4017,s4024,s1835,s5877,s2333,s2471,s3315,s1626,s3897,s4820,s5117,s3496,s5162,s2158,s566,s4774,s1170,s690,s4637,s4232,s3177,s5742,s4734,s4570,s4033,s650,s5836,s1987,s1066,s1233,s4389,s5137,s2034,s4189,s5766,s3602,s81,s3427,s1847,s2609,s1785,s4869,s2170,s4337,s4427,s1538,s323,s2437,s1032,s4749"
14,"s3128,s1330,s1583,s4245,s2359,s3712,s1591,s4458,s4975,s552,s5052,s530,s3282,s2345,s1389,s2917,s5921,s5570,s5039,s1863,s2573,s3946,s1659,s3896"
15,"s5346,s3004,s2734,s3911,s3127,s4225,s5157,s232,s5872,s3660,s57,s5528,s2251,s5862,s5034,s3316,s962,s4719,s3793,s4046,s2702,s3602,s1629,s3280,s5076,s1766,s2327,s1494,s284,s703,s1991,s5848,s2778,s5403,s4498,s3667,s1184,s1085,s4656,s1820,s4035,s5652,s2038,s2433,s3679,s5844,s2192,s3409"
16,"s3139,s3537,s1707,s2570,s4629,s2825,s1918,s3543,s59,s2589,s6107,s3522,s1104,s1672,s4817,s1708,s2606,s3788,s5140,s5004,s3729,s1039,s3776,s5909,s253,s1098,s4028,s65,s3187,s4239,s2424,s4412,s2982,s4567,s3604,s5014,s4572,s1794,s1507,s2321,s4003,s5731,s4612,s807,s1423,s2906,s2907,s5237,s2951,s976,s1850,s1588,s3071,s2088,s1275,s2022,s710,s5771,s5404,s2922,s2511,s1881,s1312,s3857,s3158,s1033,s4809,s1973,s1049,s5922,s2588,s2475,s3975,s2921,s2923,s3224,s6065,s2138,s4403,s505,s3835,s1780,s1670,s523,s1623,s3360,s2756,s3411,s2351,s2045,s2248,s2147,s912,s4624,s802,s1460,s250,s3571,s3406,s2776,s525,s3021,s1051,s5335,s5208,s3727,s5657,s549,s1329,s5146,s2902,s5937,s2489,s1037,s4335,s2405,s964,s3034,s1848,s5350,s2819,s3881,s1775,s4522,s2631,s3585,s211,s4166,s3205,s6088,s524,s2359,s5142,s2884,s2384,s3013,s5526,s3423,s5865,s3445,s5017,s5202,s1952,s3910,s4248,s1874,s1261,s5981,s5059,s1114,s887,s2765,s4698,s424,s4385,s4978,s1534,s2029,s1844,s5147,s4989,s1962,s4737,s6090,s5111,s4615,s85,s769,s4294,s1771,s288,s287,s5102,s5902,s2510"
17,"s3498,s1357,s3894,s4620,s5403,s1590,s2544,s289,s2840,s3188,s910,s3900,s4464,s3171,s1867,s2608,s393,s1545,s4496,s2640,s509,s3102,s5234,s5661,s2396,s5390,s3230,s2798,s4094,s1869,s3028,s5247,s3677,s4210,s1525,s3981,s946,s4830,s1755,s2221,s1773,s245,s305,s4613,s5239,s4864,s5983,s1112,s5932,s3871,s103,s4575,s3980,s2164,s5194,s3442,s2468,s2167,s5628,s604,s5163,s2689,s1794,s4980,s6095,s1726,s2055,s1509,s5954,s4924,s4725,s4801,s3673,s2318,s5081,s5460,s4687,s3722,s3736,s5446,s3218,s1907,s665,s109,s4537,s2028,s4657,s870,s5083,s3630,s4978,s4087,s3022,s3669,s3655,s1910,s2218,s2034,s3381,s5306,s4473,s3787,s2132,s2644,s2277,s3868,s5197,s4079,s1025,s3920,s3987,s5226,s4406,s1643,s4962,s3905,s3793,s4712,s1887,s5097,s658,s867,s5413,s325,s2889,s5872,s5164,s2362,s695,s1308,s5095,s3014,s2954,s3243,s6106,s3043,s966,s2863,s2391,s3847,s671,s2578,s3619,s1693,s4812,s1506,s4574,s5746,s5464,s4228,s6043,s977,s1579,s5803,s5665,s2676,s4799,s2710,s4852,s5833,s856,s620,s3627,s124,s2695,s918,s3552,s2621,s5780,s1637,s4174,s1835,s1924,s534,s4040"
18,"s1762,s5129,s3633,s2236,s4643,s1486,s5873,s4640,s2130,s4162,s4875,s3756,s5750,s4054,s334,s5115,s2353,s158,s2240,s3552,s971,s3405,s5488,s2999,s4527,s3269,s3739,s3774,s2938,s73,s4660,s1258,s1638,s3545,s4548,s2499,s6072,s4564,s5543,s1830,s4585,s1951,s509,s424,s1505,s288,s3278,s5084,s3463,s5779,s916,s1369,s5996,s21,s5474,s2005,s3959,s1828,s881,s4364,s3450"
19,"s2513,s349,s389,s636,s1265,s4414,s4640,s4729,s518,s4197,s1352,s4459,s2952,s976,s1324,s2429,s1374,s150,s2667,s5010,s3300,s5875,s183,s5407,s3607,s4527,s4162,s4650,s5605,s5571,s1419,s4178,s6,s1693,s2879,s3638,s1275,s1399,s3074,s3302,s1301,s4333,s149,s433,s2065,s3124,s2369,s5910,s3739,s5400,s2028,s6038,s3565,s3042,s2375,s5081,s5365,s5581,s2800,s2925,s5521,s885,s5610,s2226,s4959,s5482,s6078,s2712,s2301,s599,s5491,s3292,s148,s793,s2790,s3592,s5408,s4752,s1408,s1769,s4823,s3377,s5134,s527,s1499,s1129,s574,s6066,s130,s2620,s3846,s1828,s2671,s4741,s6085,s2705,s3540,s2916,s2638,s3703,s3736,s3983,s1004,s4016,s4179,s2868,s1363,s3228,s2496,s3331,s134,s1824"
20,"s3207,s6059,s2571,s822,s821,s1986,s2575,s825,s762,s4974,s5794,s680,s2923,s3564,s2897,s1293,s5458,s1760,s2026,s753,s5971,s5370,s3872,s1025,s1311,s4154,s2865,s4396,s2359,s3931,s4184,s3700,s3221,s5223,s451,s2763,s1329,s1869,s5196,s2722,s804,s704,s714,s1530,s3517,s5883,s4216,s2738,s2362,s2197,s5477,s3387,s311,s1023,s134,s4740,s262,s203,s1610,s2059,s546,s5063,s3184,s4505,s1948,s5459,s153,s950,s1784,s973,s648,s786,s2966,s3200,s4837,s3795,s5133,s5746,s1941,s3528,s876,s3033,s2704,s5507,s916,s284,s3036,s1716,s1459,s5106,s567,s750,s908,s2760,s5217,s5431,s3116,s1961,s4838,s3821,s2566,s3633,s4131,s790,s361,s2618,s5786,s5624,s1578,s5008,s3344,s2096,s302,s1066,s4208,s1446,s5297,s581,s3628,s4814,s4289,s4672,s5732,s5651,s5891,s2734,s5154,s5292,s3950"
21,"s2376,s5624,s4853,s17,s243,s532,s493,s3207,s5494,s4478,s4382,s1691"
22,"s530,s1915,s2124,s459,s521,s453,s3680,s3913,s217,s3578,s1665,s5857,s2190,s3668,s147,s1129,s2780,s193,s4618,s3870,s886,s4846,s2130,s432,s4188,s3188,s966,s3968,s678,s5510,s4206,s4519,s4104,s877,s4137,s5659,s3529,s4744,s4985,s4165,s2199,s1853,s4265,s3697,s4956,s5004,s2125,s5627,s4292,s4288,s4729,s600"
23,"s1775,s2329,s3906,s2307,s2779,s4897,s3856,s2804,s5933,s9,s2528,s4437,s1278,s5782,s4319,s1250,s3330,s2257,s5578,s6012,s2519,s754,s4524,s3671,s5700,s3032,s5810,s466,s2627,s1792,s1893,s5379,s5166,s1954,s3814,s1015,s5005,s5603,s4232,s1067,s3146,s4199,s1633,s399,s1023,s4470,s5167,s2744,s2025,s4412,s4569,s383,s4586,s2190,s1760,s4606,s3277,s3775,s5081,s4477,s2481,s3084,s3826,s1234,s2858,s3449,s4786"
24,"s52,s1733,s1594,s6047,s370,s2918,s2519"
25,"s2481,s4056,s5866,s1069,s3582,s2171"
26,"s5558,s4483,s169,s286,s2651,s3541,s530,s4101,s1840,s3721,s2279,s5993,s706,s2026,s2485,s2447,s5632,s3676,s4447,s2069,s2323,s3928,s500,s1175,s1992,s1640,s586,s3380,s1823,s4523,s2888,s744,s178,s1361,s5198,s919,s4411,s5696,s557,s2628,s4644,s3626,s3415,s693,s5665,s4039,s3551,s4544,s5423,s2088,s6022,s1348,s4626,s1564,s5015,s1271,s2144,s5526,s2852,s2783,s4808,s4372,s1299,s5062,s862,s3749,s4692,s4690,s5264,s5174,s774,s779,s1703,s2756,s981,s5428,s5582,s2725,s543,s3231,s2162,s2185,s4892,s3385,s377,s332,s4587,s6063,s2528,s303,s2040,s619,s4386,s5722,s3882,s3125,s5228,s3589,s3318,s1257,s1576,s4168,s233,s6018,s2683,s1977,s3849,s2244,s1715,s6041,s386,s5559,s4905,s975,s1741,s1036,s824,s2292,s5826,s4092,s4120,s4433,s3066,s1002,s2221,s2913,s4298,s5069,s3418,s2514,s5451,s2728,s5617,s1548,s3950,s1658,s3232,s397,s2719,s4244,s4083,s4392,s1501,s5929,s5916,s4646,s5887,s3479,s4140,s5283,s4788,s2211,s707,s2397,s2342,s3422,s3330,s1952,s4700,s1213,s5969,s3646,s2014,s5648,s2884,s3960,s3887"
27,"s6069,s5935,s4183,s4288,s1709,s6100,s4699,s5956,s293,s927,s5403,s1648,s4420,s4336,s3087,s5409,s2617,s4767,s4976,s4473,s1544,s2496,s2166,s2231,s1877,s4009,s1103,s783,s759,s3032,s117,s2999,s3962,s1027,s2680,s3968,s1017,s2367,s270,s341,s3570,s1753,s4558,s5293,s2602,s1845,s2566,s4479,s3882,s2323,s3614,s3900,s381,s3750,s4054,s2423,s5786,s1964,s1509,s2707,s1912,s1293,s4178,s4813,s6005,s1206,s2507,s3462,s6068,s2317,s3589,s2705,s620,s203,s3350,s1861,s2025,s2558,s4059,s4842,s5858,s2021,s4819,s3011,s4307,s4968,s2395,s3193,s1820,s2919,s3262,s5128,s5940,s3249,s4177,s5924,s3637,s1382,s6056,s5901,s131,s415,s2571,s2278,s6001,s4795,s4382,s5987,s5697,s5388,s5919,s2725,s2570,s312,s3012,s5962,s4080,s5132,s5249,s591,s5007,s4185,s1733,s1346,s2750,s5197,s5386,s5723,s2625,s3572"
28,"s1075,s3886,s2001,s6002,s1821,s5346,s952,s493,s1915,s2769,s2566,s2514,s3122,s2565,s2301,s735,s1464,s5098,s1492,s1471,s3482,s5183,s194,s4478,s4772,s4734,s1559,s2161,s2121,s1750,s1528,s5517,s1048,s506,s2364,s2212,s5095,s3319,s2300,s3699,s1677,s3333,s5496,s1828,s3064,s4373,s4756,s4625,s1916,s1083,s2538,s1276,s1045,s5323,s2235,s2209,s2332,s1989,s2247,s3326,s1222,s4199,s3134,s671,s2068,s4010,s3974,s958,s2644,s1111,s5702,s2023,s4505,s4381,s3070,s5711,s213,s322,s508,s5218,s1232,s632,s3903,s2475,s482,s2504,s5460,s1373,s5852,s1175,s2907,s3114,s4197,s2287,s5704,s1503,s1563,s5942,s3417,s636,s5139,s4125,s3287,s4623,s2622,s494,s3041,s2303,s2542,s5528,s4062,s5498,s5270,s695,s5421,s1151,s3470,s1630,s362,s1391,s3813,s6031,s529,s3681,s3604,s1653,s353,s1536,s100,s5668,s5318,s2850"
29,"s4541,s4354,s2665,s3350,s1146,s3620,s2087,s913,s19,s4777,s3166,s1775,s2858,s4070,s435,s2214,s5136,s1137,s223,s2512,s8,s2976,s4446,s123,s1307,s4244,s5890,s6097,s5391,s2360,s3990,s5696,s4880,s5768,s5166,s1749,s3852,s3883,s3562,s5225,s295,s1134,s1480,s6018,s2838,s1054,s401,s5159,s4184,s4421,s398,s4638,s4605,s5233,s2313,s5612,s5553,s5758,s4917,s3611,s669,s4671,s2071,s2918,s3946,s4078,s5501,s3303,s5939,s2425,s100,s3198,s5664,s380,s3278,s5541,s1167,s5016,s4481,s4407,s4284,s5367,s1870,s4581,s2990,s4879,s2050,s4149,s3203,s1078,s4811,s604,s5076,s2496,s1577,s265,s5425,s2278,s2754,s259,s2529,s5461,s876,s5724,s5466,s818"
30,"s2858,s3960,s5248,s4692,s6016,s1105,s5227,s5447,s465,s1118,s783,s769,s4995,s4681,s4023,s1146,s2896,s1054,s4721,s552,s881,s5101,s384,s1874,s656,s1894,s3206,s249,s1335,s51,s5989,s1791,s913"
31,"s1797,s1739,s3754,s3319,s5249,s3294,s5037,s4228,s1423,s4722,s2199,s3772,s5085,s1704,s3123,s5177,s4926,s107,s1337,s2915,s5631,s5282,s4030,s3637,s5661,s5138,s5255,s4007,s3533,s5550,s4656,s1057,s3054,s1868,s3345,s3853,s5939,s2537,s4414,s2515,s2309,s5384,s4554,s3506,s1005,s5158,s3324,s5091,s3517,s2848,s663,s4484,s178,s4825,s640,s2612,s359,s794,s2429,s1418,s2273,s3274,s356,s2694,s5656,s5148,s2793,s5279,s5066,s3230,s904,s458,s2686,s1348,s559,s4975,s2519,s3241,s4427,s1892,s3105,s1556,s5345,s5362,s2618,s5457,s5549,s3081,s17,s3270,s4016,s1585,s2126,s298,s4068,s3060,s3789,s4493,s543,s1586,s1592,s4677,s825,s714,s605,s4943,s3341,s1916,s1256,s2746,s1002,s5826,s1624,s4325,s1389,s586,s2074,s1653,s4702,s3153,s1303,s5166,s4548,s4767,s4949,s5863,s2698,s5342,s5149,s2638,s4146,s2208,s3977,s3572,s1170,s5846,s1260,s5006,s3225,s866,s5218,s2161,s3783,s665,s706,s3979,s191,s5665,s4130,s2249,s3145,s1349,s5016,s1700,s3880,s4413,s3279,s2466,s1202,s4326,s3811,s3037,s4598,s709,s5748,s976,s4763"
32,"s5690,s2297,s427,s3195,s1896,s5716,s5197,s699,s5661,s2723,s4114,s3663,s5901,s5984,s4098,s958,s1487,s5368,s4497,s4704,s1161,s1797,s1146,s4849,s4356,s5161,s5642,s420,s4905,s645,s4379,s4799,s3183,s5676,s2061,s1960,s4153,s3451,s4319,s2957,s3928,s1286,s5686,s4783,s6033,s1057,s4075,s3080,s4772,s5943,s2038,s1459,s5591,s3424,s5076,s1598,s5689,s1918,s3846,s207,s5833,s4377,s2767,s1986,s314,s551,s5277,s3587,s475,s839,s1837,s229,s4315,s3582,s2002,s1206,s5867,s5436,s643,s1392,s834,s3073,s1668,s3924,s4896,s3341,s857,s33,s1616,s4342,s3690,s4199,s1712,s5406,s2094,s3190,s4911,s4198,s1155,s619,s558,s1818,s2379,s1111,s4994,s4975,s249,s5221,s415,s2969,s5239,s2459,s2041,s4496,s5036,s5135,s1627,s2483,s4978,s1247,s623,s1810,s4149,s1802,s4655,s3048,s4349,s3087,s606,s1527,s3943,s2363,s5701,s719,s95,s4968,s3229,s4801,s2388,s4684,s3816,s5914,s5811,s240,s3484,s2989,s4598,s1486,s2023,s861,s4543,s1851,s661,s543,s1262,s2725,s258,s3292,s3774,s493,s3112,s3148,s960"
33,"s1946,s3807,s352,s1511,s4381,s1128,s4440,s4275,s2267,s4698,s3135,s3245,s4099,s5977,s3874,s4849,s893,s390,s2451,s4926,s2576,s3884,s2414,s1625,s4012,s4240,s3390,s5324,s3495,s759,s3597,s1328,s3787,s2907,s2413,s5107,s4311,s6074,s1559,s175,s761,s4266,s4239,s2525,s5139,s5694,s5670,s153,s726,s5988,s947,s2307,s5012,s5401,s5534,s2432,s1622,s336,s2102,s4427,s2526,s3397,s1549,s4283,s3522,s2031,s4685,s4000,s5353,s645,s3541,s167,s4201,s2725,s3258,s2912,s1510,s3609,s1975,s3077,s3370,s4828,s3114,s4579,s1750,s2066,s985,s5938,s3079,s4051,s412,s4150,s3093,s3712,s4125,s2386,s207,s4238,s2118,s2521,s1563,s4678,s2279,s3847,s2969,s2698,s3970,s4980,s1662,s255,s5887,s4983,s4845,s5369,s145,s3150,s4260,s4352,s2170,s3308,s3523,s248,s3393,s6027,s4943,s801,s5313,s4550,s4746,s1059,s217,s5239,s2127,s771,s3851,s4615,s5257,s3567,s1234,s4768,s4702,s557,s1106,s1110,s3430,s4110,s1531,s4262,s5487,s1462"
34,"s5888,s99,s2883,s3078,s560,s3325,s3003,s4906,s4686,s3559,s3436,s3882,s2521,s769,s2663,s629,s2804,s1183,s3537,s47,s6090,s576,s1365,s1635,s3565,s2036,s608,s1776,s2513,s5091,s2429,s4334,s5422,s1128,s596,s2936,s3194,s2012,s1493,s1835,s3345,s1190,s4377,s2406,s3620,s665,s1022,s3439,s3541,s310,s3729,s1508,s1096,s2330,s4221,s350,s196,s2841,s1061,s3208,s617,s4183,s4353,s5478,s3462,s2876,s4198,s3979,s3108,s2081,s3229,s2329,s4401,s3237,s1810,s386,s5590,s554,s636,s2432,s1317,s3445,s6106,s4103,s2961,s3271,s2490,s4046,s6083,s25,s727,s2222,s4764,s724,s4632,s1579,s501,s5950,s5672,s1210,s17,s1645,s3813,s3948,s5505,s5777,s2004,s4633,s2080,s6052,s483,s3636,s2602,s2475,s4527,s3030,s3065,s2766,s3905,s530,s2281,s5978,s3255,s2039,s2808,s5380,s3466,s4978,s4973,s4310,s1232,s4026,s4107,s5626,s2163,s4557,s1570,s3488,s290,s5599,s4663,s3275,s1686,s2759,s2133,s5490,s693,s2865,s1054,s2258,s582,s689,s3320"
35,"s4825,s3005,s3821,s860,s5075,s371,s2267,s5270,s3761,s5889,s2469,s1120,s5884,s1407,s2290,s1949,s2023,s4184,s5468,s5442,s2971,s4837,s1760,s1927,s2261,s1767,s1919,s2554,s370,s5115,s2239,s3959,s1167,s4462,s3544,s642,s545,s3938,s4035,s764,s6103,s5726,s1022,s773,s4605,s2508"
36,"s4036,s3548,s4777,s1532,s5500,s388,s4145,s1433,s636,s4394,s2972,s3886,s193,s4594,s2541,s5103,s2496,s5052,s848,s1034,s1866,s675,s4007,s3645,s974,s2076,s4480,s2584"
37,"s1843,s2803,s169,s62,s2910,s958,s5455,s4737,s4478,s5605,s5245,s1773,s520,s5538,s3916,s3316,s3805,s4650,s5688,s2800,s243,s2228,s5734,s1440,s5299,s5995,s2142,s2415,s5346,s4701,s2340,s1785,s4946,s1862,s2040,s2581,s4200,s12,s786,s5494,s2176,s2282,s547,s3905,s2783,s5339,s2484,s3841,s6077,s5509,s900,s2694,s2296,s2787,s3136,s4750,s4633,s1388,s4510,s1898,s4112,s1634,s4972,s5515,s2377,s2953,s3584,s3388,s3832,s5456,s2977,s502,s4346,s5059,s2201,s1445,s4999,s2307,s4158,s2493,s3765,s1085,s166,s1301,s3349,s2106,s5694,s4170,s5002,s4665,s2729,s4461,s1243,s5982,s3604,s4950,s6009,s3225,s3695,s3901,s1941,s3438,s4263,s3310,s2056,s3109,s365,s3845,s2603,s5439,s1278,s5779,s5323,s1856,s825,s1619,s881,s152,s3043,s4106,s5302,s1913,s4265,s5876,s954,s4328,s5677,s452,s510,s975,s1970,s972,s4580,s3896,s2770,s4010,s1173,s4810,s5482,s2178,s2903,s4396,s2214,s799,s4989,s2633,s5406,s4249"
38,"s3052,s4130,s5145,s3710,s3656,s2881,s337,s4497,s3708,s5331,s5647,s5565,s2958,s4528,s2753,s3154,s2465,s36,s2722,s2602,s4832,s3132,s4235,s3950,s2671,s2463,s4543,s1799,s5790,s4095,s4706,s3709,s498,s5595,s3097,s1764,s2630,s1110,s4870,s3175,s1434,s1131,s4769,s2668,s1226,s3785,s6048,s2249,s5398,s4753,s4943,s5466,s64,s786,s1140,s3752,s790,s4917,s720,s2845,s5031,s5171,s3816,s1239,s4989,s78,s3835,s5177,s122,s2165,s91,s3223,s4401,s4909,s2161,s3988,s1554,s2822,s3817,s788,s711,s3884,s5249,s3383,s3470,s3945,s2159,s1061,s941,s3102,s3946,s2653,s3648,s5221,s2835,s705,s2611,s5043,s923,s747,s5270,s639,s3705,s5795,s5621,s3718,s2178,s1720,s4802,s1041,s2748,s4339,s472,s4045,s3588,s4319,s4961,s1829,s5334,s4615,s1771,s4313,s323,s2965,s2559,s1602,s2659,s4001,s5764,s3111,s4555,s5612,s2940,s4719,s4666,s1463,s1781,s1097,s2275,s4463,s2837,s3210,s2973,s2208,s5130,s4273,s769,s2872,s3232,s2588,s5414,s3149,s5465,s79,s1973,s3687,s4737,s2619,s263,s727,s2039,s4610,s3742,s4726,s2534,s2126,s4225,s4972,s3971,s5751,s4410,s4813,s2816,s5100,s4968,s5616,s5369,s1470,s6034,s1223,s4342,s3911,s4050,s2216,s5843,s3252,s3942,s4023,s2280,s393"
